grp,id,params,role,conditions,score
,,Behavioral Engagement,VR,C3,6
,,Behavioral Engagement,VR,C3,6
,4,Co-presence,AR,C3,5
,,Co-presence,AR,C3,7
,,Co-presence,AR,C3,7
,,Co-presence,AR,C3,6
,,Mutual Attention,AR,C3,4
,,Mutual Attention,AR,C3,6
,,Mutual Attention,AR,C3,4
,,Mutual Understanding,AR,C3,6
,,Mutual Understanding,AR,C3,6
,,Behavioral Engagement,AR,C3,6
,,Behavioral Engagement,AR,C3,6
7,1,Co-presence,VR,C1,5
,,Co-presence,VR,C1,5
,,Co-presence,VR,C1,4
,,Co-presence,VR,C1,3
,,Mutual Attention,VR,C1,3
,,Mutual Attention,VR,C1,5
,,Mutual Attention,VR,C1,3
,,Mutual Understanding,VR,C1,5
,,Mutual Understanding,VR,C1,3
,,Behavioral Engagement,VR,C1,5
,,Behavioral Engagement,VR,C1,6
,2,Co-presence,AR,C1,4
,,Co-presence,AR,C1,4
,,Co-presence,AR,C1,5
,,Co-presence,AR,C1,5
,,Mutual Attention,AR,C1,5
,,Mutual Attention,AR,C1,2
,,Mutual Attention,AR,C1,4
,,Mutual Understanding,AR,C1,5
,,Mutual Understanding,AR,C1,5
,,Behavioral Engagement,AR,C1,4
,,Behavioral Engagement,AR,C1,4
,3,Co-presence,VR,C1,5
,,Co-presence,VR,C1,4
,,Co-presence,VR,C1,4
,,Co-presence,VR,C1,5
,,Mutual Attention,VR,C1,3
,,Mutual Attention,VR,C1,3
,,Mutual Attention,VR,C1,3
,,Mutual Understanding,VR,C1,4
,,Mutual Understanding,VR,C1,3
,,Behavioral Engagement,VR,C1,5
,,Behavioral Engagement,VR,C1,4
,4,Co-presence,AR,C1,4
,,Co-presence,AR,C1,3
,,Co-presence,AR,C1,4
,,Co-presence,AR,C1,5
,,Mutual Attention,AR,C1,5
,,Mutual Attention,AR,C1,4
,,Mutual Attention,AR,C1,5
,,Mutual Understanding,AR,C1,5
,,Mutual Understanding,AR,C1,4
,,Behavioral Engagement,AR,C1,5
,,Behavioral Engagement,AR,C1,5
,1,Co-presence,VR,C2,5
,,Co-presence,VR,C2,5
,,Co-presence,VR,C2,4
,,Co-presence,VR,C2,4
,,Mutual Attention,VR,C2,5
,,Mutual Attention,VR,C2,4
,,Mutual Attention,VR,C2,5
,,Mutual Understanding,VR,C2,3
,,Mutual Understanding,VR,C2,6
,,Behavioral Engagement,VR,C2,5
,,Behavioral Engagement,VR,C2,4
,2,Co-presence,AR,C2,4
,,Co-presence,AR,C2,5
,,Co-presence,AR,C2,4
,,Co-presence,AR,C2,5
,,Mutual Attention,AR,C2,5
,,Mutual Attention,AR,C2,3
,,Mutual Attention,AR,C2,5
,,Mutual Understanding,AR,C2,6
,,Mutual Understanding,AR,C2,5
,,Behavioral Engagement,AR,C2,5
,,Behavioral Engagement,AR,C2,5
,3,Co-presence,VR,C2,4
,,Co-presence,VR,C2,5
,,Co-presence,VR,C2,5
,,Co-presence,VR,C2,4
,,Mutual Attention,VR,C2,5
,,Mutual Attention,VR,C2,4
,,Mutual Attention,VR,C2,5
,,Mutual Understanding,VR,C2,4
,,Mutual Understanding,VR,C2,5
,,Behavioral Engagement,VR,C2,4
,,Behavioral Engagement,VR,C2,5
,4,Co-presence,AR,C2,5
,,Co-presence,AR,C2,5
,,Co-presence,AR,C2,5
,,Co-presence,AR,C2,5
,,Mutual Attention,AR,C2,4
,,Mutual Attention,AR,C2,5
,,Mutual Attention,AR,C2,6
,,Mutual Understanding,AR,C2,4
,,Mutual Understanding,AR,C2,4
,,Behavioral Engagement,AR,C2,6
,,Behavioral Engagement,AR,C2,5
,1,Co-presence,VR,C3,6
,,Co-presence,VR,C3,6
,,Co-presence,VR,C3,6
,,Co-presence,VR,C3,6
,,Mutual Attention,VR,C3,5
,,Mutual Attention,VR,C3,6
,,Mutual Attention,VR,C3,6
,,Mutual Understanding,VR,C3,6
,,Mutual Understanding,VR,C3,7
,,Behavioral Engagement,VR,C3,6
,,Behavioral Engagement,VR,C3,7
,2,Co-presence,AR,C3,7
,,Co-presence,AR,C3,5
,,Co-presence,AR,C3,6
,,Co-presence,AR,C3,6
,,Mutual Attention,AR,C3,5
,,Mutual Attention,AR,C3,6
,,Mutual Attention,AR,C3,6
,,Mutual Understanding,AR,C3,5
,,Mutual Understanding,AR,C3,7
,,Behavioral Engagement,AR,C3,7
,,Behavioral Engagement,AR,C3,5
,3,Co-presence,VR,C3,6
,,Co-presence,VR,C3,5
,,Co-presence,VR,C3,6
,,Co-presence,VR,C3,7
,,Mutual Attention,VR,C3,6
,,Mutual Attention,VR,C3,6
,,Mutual Attention,VR,C3,6
,,Mutual Understanding,VR,C3,4
,,Mutual Understanding,VR,C3,7
,,Behavioral Engagement,VR,C3,7
,,Behavioral Engagement,VR,C3,5
,4,Co-presence,AR,C3,6
,,Co-presence,AR,C3,7
,,Co-presence,AR,C3,6
,,Co-presence,AR,C3,7
,,Mutual Attention,AR,C3,6
,,Mutual Attention,AR,C3,7
,,Mutual Attention,AR,C3,6
,,Mutual Understanding,AR,C3,4
,,Mutual Understanding,AR,C3,6
,,Behavioral Engagement,AR,C3,7
,,Behavioral Engagement,AR,C3,5
8,1,Co-presence,VR,C1,4
,,Co-presence,VR,C1,5
,,Co-presence,VR,C1,3
,,Co-presence,VR,C1,3
,,Mutual Attention,VR,C1,2
,,Mutual Attention,VR,C1,5
,,Mutual Attention,VR,C1,4
,,Mutual Understanding,VR,C1,4
,,Mutual Understanding,VR,C1,5
,,Behavioral Engagement,VR,C1,5
,,Behavioral Engagement,VR,C1,5
,2,Co-presence,AR,C1,4
,,Co-presence,AR,C1,5
,,Co-presence,AR,C1,4
,,Co-presence,AR,C1,4
,,Mutual Attention,AR,C1,5
,,Mutual Attention,AR,C1,4
,,Mutual Attention,AR,C1,5
,,Mutual Understanding,AR,C1,5
,,Mutual Understanding,AR,C1,4
,,Behavioral Engagement,AR,C1,5
,,Behavioral Engagement,AR,C1,5
,3,Co-presence,VR,C1,4
,,Co-presence,VR,C1,3
,,Co-presence,VR,C1,5
,,Co-presence,VR,C1,4
,,Mutual Attention,VR,C1,4
,,Mutual Attention,VR,C1,5
,,Mutual Attention,VR,C1,4
,,Mutual Understanding,VR,C1,4
,,Mutual Understanding,VR,C1,5
,,Behavioral Engagement,VR,C1,4
,,Behavioral Engagement,VR,C1,5
,4,Co-presence,AR,C1,5
,,Co-presence,AR,C1,4
,,Co-presence,AR,C1,5
,,Co-presence,AR,C1,4
,,Mutual Attention,AR,C1,2
,,Mutual Attention,AR,C1,3
,,Mutual Attention,AR,C1,4
,,Mutual Understanding,AR,C1,3
,,Mutual Understanding,AR,C1,3
,,Behavioral Engagement,AR,C1,5
,,Behavioral Engagement,AR,C1,4
,1,Co-presence,VR,C2,5
,,Co-presence,VR,C2,4
,,Co-presence,VR,C2,4
,,Co-presence,VR,C2,6
,,Mutual Attention,VR,C2,4
,,Mutual Attention,VR,C2,4
,,Mutual Attention,VR,C2,4
,,Mutual Understanding,VR,C2,6
,,Mutual Understanding,VR,C2,5
,,Behavioral Engagement,VR,C2,5
,,Behavioral Engagement,VR,C2,4
,2,Co-presence,AR,C2,5
,,Co-presence,AR,C2,6
,,Co-presence,AR,C2,4
,,Co-presence,AR,C2,6
,,Mutual Attention,AR,C2,4
,,Mutual Attention,AR,C2,5
,,Mutual Attention,AR,C2,5
,,Mutual Understanding,AR,C2,5
,,Mutual Understanding,AR,C2,6
,,Behavioral Engagement,AR,C2,6
,,Behavioral Engagement,AR,C2,5
,3,Co-presence,VR,C2,5
,,Co-presence,VR,C2,6
,,Co-presence,VR,C2,6
,,Co-presence,VR,C2,5
,,Mutual Attention,VR,C2,5
,,Mutual Attention,VR,C2,5
,,Mutual Attention,VR,C2,4
,,Mutual Understanding,VR,C2,4
,,Mutual Understanding,VR,C2,5
,,Behavioral Engagement,VR,C2,4
,,Behavioral Engagement,VR,C2,6
,4,Co-presence,AR,C2,6
,,Co-presence,AR,C2,4
,,Co-presence,AR,C2,5
,,Co-presence,AR,C2,6
,,Mutual Attention,AR,C2,5
,,Mutual Attention,AR,C2,5
,,Mutual Attention,AR,C2,5
,,Mutual Understanding,AR,C2,6
,,Mutual Understanding,AR,C2,5
,,Behavioral Engagement,AR,C2,6
,,Behavioral Engagement,AR,C2,5
,1,Co-presence,VR,C3,6
,,Co-presence,VR,C3,6
,,Co-presence,VR,C3,7
,,Co-presence,VR,C3,6
,,Mutual Attention,VR,C3,6
,,Mutual Attention,VR,C3,6
,,Mutual Attention,VR,C3,6
,,Mutual Understanding,VR,C3,3
,,Mutual Understanding,VR,C3,6
,,Behavioral Engagement,VR,C3,5
,,Behavioral Engagement,VR,C3,5
,2,Co-presence,AR,C3,7
,,Co-presence,AR,C3,7
,,Co-presence,AR,C3,6
,,Co-presence,AR,C3,6
,,Mutual Attention,AR,C3,6
,,Mutual Attention,AR,C3,7
,,Mutual Attention,AR,C3,6
,,Mutual Understanding,AR,C3,7
,,Mutual Understanding,AR,C3,6
,,Behavioral Engagement,AR,C3,6
,,Behavioral Engagement,AR,C3,5
,3,Co-presence,VR,C3,6
,,Co-presence,VR,C3,6
,,Co-presence,VR,C3,6
,,Co-presence,VR,C3,7
,,Mutual Attention,VR,C3,5
,,Mutual Attention,VR,C3,5
,,Mutual Attention,VR,C3,6
,,Mutual Understanding,VR,C3,6
,,Mutual Understanding,VR,C3,5
,,Behavioral Engagement,VR,C3,6
,,Behavioral Engagement,VR,C3,5
,4,Co-presence,AR,C3,6
,,Co-presence,AR,C3,6
,,Co-presence,AR,C3,6
,,Co-presence,AR,C3,6
,,Mutual Attention,AR,C3,5
,,Mutual Attention,AR,C3,5
,,Mutual Attention,AR,C3,5
,,Mutual Understanding,AR,C3,6
,,Mutual Understanding,AR,C3,5
,,Behavioral Engagement,AR,C3,7
,,Behavioral Engagement,AR,C3,6
9,1,Co-presence,VR,C1,4
,,Co-presence,VR,C1,4
,,Co-presence,VR,C1,3
,,Co-presence,VR,C1,4
,,Mutual Attention,VR,C1,3
,,Mutual Attention,VR,C1,3
,,Mutual Attention,VR,C1,3
,,Mutual Understanding,VR,C1,3
,,Mutual Understanding,VR,C1,4
,,Behavioral Engagement,VR,C1,5
,,Behavioral Engagement,VR,C1,5
,2,Co-presence,AR,C1,5
,,Co-presence,AR,C1,5
,,Co-presence,AR,C1,4
,,Co-presence,AR,C1,5
,,Mutual Attention,AR,C1,3
,,Mutual Attention,AR,C1,5
,,Mutual Attention,AR,C1,2
,,Mutual Understanding,AR,C1,4
,,Mutual Understanding,AR,C1,4
,,Behavioral Engagement,AR,C1,5
,,Behavioral Engagement,AR,C1,4
,3,Co-presence,VR,C1,4
,,Co-presence,VR,C1,5
,,Co-presence,VR,C1,4
,,Co-presence,VR,C1,4
,,Mutual Attention,VR,C1,4
,,Mutual Attention,VR,C1,4
,,Mutual Attention,VR,C1,4
,,Mutual Understanding,VR,C1,3
,,Mutual Understanding,VR,C1,3
,,Behavioral Engagement,VR,C1,4
,,Behavioral Engagement,VR,C1,5
,4,Co-presence,AR,C1,5
,,Co-presence,AR,C1,4
,,Co-presence,AR,C1,5
,,Co-presence,AR,C1,5
,,Mutual Attention,AR,C1,2
,,Mutual Attention,AR,C1,5
,,Mutual Attention,AR,C1,5
,,Mutual Understanding,AR,C1,4
,,Mutual Understanding,AR,C1,4
,,Behavioral Engagement,AR,C1,5
,,Behavioral Engagement,AR,C1,4
,1,Co-presence,VR,C2,5
,,Co-presence,VR,C2,5
,,Co-presence,VR,C2,5
,,Co-presence,VR,C2,5
,,Mutual Attention,VR,C2,5
,,Mutual Attention,VR,C2,5
,,Mutual Attention,VR,C2,5
,,Mutual Understanding,VR,C2,6
,,Mutual Understanding,VR,C2,4
,,Behavioral Engagement,VR,C2,4
,,Behavioral Engagement,VR,C2,6
,2,Co-presence,AR,C2,6
,,Co-presence,AR,C2,6
,,Co-presence,AR,C2,4
,,Co-presence,AR,C2,6
,,Mutual Attention,AR,C2,4
,,Mutual Attention,AR,C2,5
,,Mutual Attention,AR,C2,5
,,Mutual Understanding,AR,C2,6
,,Mutual Understanding,AR,C2,6
,,Behavioral Engagement,AR,C2,6
,,Behavioral Engagement,AR,C2,5
,3,Co-presence,VR,C2,5
,,Co-presence,VR,C2,6
,,Co-presence,VR,C2,6
,,Co-presence,VR,C2,6
,,Mutual Attention,VR,C2,5
,,Mutual Attention,VR,C2,4
,,Mutual Attention,VR,C2,5
,,Mutual Understanding,VR,C2,6
,,Mutual Understanding,VR,C2,4
,,Behavioral Engagement,VR,C2,4
,,Behavioral Engagement,VR,C2,4
,4,Co-presence,AR,C2,4
,,Co-presence,AR,C2,5
,,Co-presence,AR,C2,5
,,Co-presence,AR,C2,6
,,Mutual Attention,AR,C2,3
,,Mutual Attention,AR,C2,4
,,Mutual Attention,AR,C2,4
,,Mutual Understanding,AR,C2,6
,,Mutual Understanding,AR,C2,5
,,Behavioral Engagement,AR,C2,6
,,Behavioral Engagement,AR,C2,5
,1,Co-presence,VR,C3,6
,,Co-presence,VR,C3,6
,,Co-presence,VR,C3,7
,,Co-presence,VR,C3,6
,,Mutual Attention,VR,C3,6
,,Mutual Attention,VR,C3,7
,,Mutual Attention,VR,C3,7
,,Mutual Understanding,VR,C3,6
,,Mutual Understanding,VR,C3,6
,,Behavioral Engagement,VR,C3,7
,,Behavioral Engagement,VR,C3,6
,2,Co-presence,AR,C3,6
,,Co-presence,AR,C3,5
,,Co-presence,AR,C3,5
,,Co-presence,AR,C3,5
,,Mutual Attention,AR,C3,5
,,Mutual Attention,AR,C3,6
,,Mutual Attention,AR,C3,5
,,Mutual Understanding,AR,C3,5
,,Mutual Understanding,AR,C3,7
,,Behavioral Engagement,AR,C3,6
,,Behavioral Engagement,AR,C3,6
,3,Co-presence,VR,C3,5
,,Co-presence,VR,C3,6
,,Co-presence,VR,C3,5
,,Co-presence,VR,C3,6
,,Mutual Attention,VR,C3,6
,,Mutual Attention,VR,C3,5
,,Mutual Attention,VR,C3,7
,,Mutual Understanding,VR,C3,7
,,Mutual Understanding,VR,C3,5
,,Behavioral Engagement,VR,C3,7
,,Behavioral Engagement,VR,C3,6
,4,Co-presence,AR,C3,5
,,Co-presence,AR,C3,6
,,Co-presence,AR,C3,6
,,Co-presence,AR,C3,6
,,Mutual Attention,AR,C3,6
,,Mutual Attention,AR,C3,6
,,Mutual Attention,AR,C3,6
,,Mutual Understanding,AR,C3,4
,,Mutual Understanding,AR,C3,5
,,Behavioral Engagement,AR,C3,6
,,Behavioral Engagement,AR,C3,6
